Date,Meal,Food_Item,Calories,Protein_g,Carbs_g,Fat_g,Meal_Time,Water_ml
2022-01-11,Breakfast,Pancakes,349.0,15.0,67.3,,08:00,2036.0
2022-01-11,Lunch,Chicken,271.0,10.2,,22.2,13:00,
2022-01-11,Supper,Nuts,613.0,28.0,63.5,,17:00,378.0
2022-01-11,Dinner,Fish,514.0,10.6,40.0,14.5,20:30,133.0
2022-01-12,Breakfast,,,,,,,
2022-01-12,Lunch,Chicken,451.0,,63.9,,13:00,116.0
2022-01-12,Supper,Yogurt,616.0,39.0,48.2,15.6,,1977.0
2022-01-12,Dinner,Roti,385.0,10.2,78.0,,20:30,845.0
2022-01-13,Breakfast,Poha,284.0,26.5,32.8,27.3,08:00,59.0
2022-01-13,Lunch,Chicken,291.0,25.4,38.1,32.2,13:00,337.0
2022-01-13,Supper,Nuts,278.0,18.0,30.0,15.8,17:00,356.0
2022-01-13,Dinner,Soup,357.0,16.5,83.0,22.6,20:30,1182.0
2022-01-14,Breakfast,Eggs,421.0,18.5,35.9,,08:00,157.0
2022-01-14,Lunch,Chicken,636.0,20.5,43.5,,13:00,667.0
2022-01-14,Supper,Nuts,375.0,15.1,56.8,34.6,17:00,579.0
2022-01-14,Dinner,Khichdi,621.0,44.4,50.9,30.0,20:30,1029.0
2022-01-15,Breakfast,,,,,,,
2022-01-15,Lunch,,,,,,,
2022-01-15,Supper,Fruit,673.0,23.5,,11.7,17:00,1206.0
2022-01-15,Dinner,Soup,393.0,38.6,,22.3,20:30,223.0
2022-01-16,Breakfast,Smoothie,324.0,42.7,76.0,26.1,08:00,520.0
2022-01-16,Lunch,Curd,587.0,27.0,,34.9,13:00,538.0
2022-01-16,Supper,Nuts,650.0,20.8,60.3,21.7,17:00,144.0
2022-01-16,Dinner,Vegetables,276.0,37.8,57.7,23.6,20:30,
2022-01-17,Breakfast,Pancakes,551.0,43.8,87.6,31.0,08:00,136.0
2022-01-17,Lunch,Rice,472.0,39.5,85.5,9.9,13:00,893.0
2022-01-17,Supper,Yogurt,522.0,39.7,33.9,27.1,17:00,572.0
2022-01-17,Dinner,Soup,640.0,27.6,76.9,25.5,20:30,1271.0
2022-01-18,Breakfast,,,,,,,
2022-01-18,Lunch,Curd,554.0,11.3,78.5,17.7,13:00,780.0
2022-01-18,Supper,Sandwich,511.0,11.8,59.5,22.6,17:00,337.0
2022-01-18,Dinner,,,,,,,
2022-01-19,Breakfast,,,,,,,
2022-01-19,Lunch,Salad,378.0,16.1,35.2,14.8,13:00,440.0
2022-01-19,Supper,Sprouts,527.0,35.6,28.1,23.3,17:00,
2022-01-19,Dinner,,,,,,,
2022-01-20,Breakfast,Poha,471.0,32.7,28.1,,08:00,9.0
2022-01-20,Lunch,Paneer,253.0,31.6,86.4,33.5,13:00,773.0
2022-01-20,Supper,,,,,,,
2022-01-20,Dinner,Roti,666.0,38.4,78.3,24.9,20:30,228.0
2022-01-21,Breakfast,Eggs,667.0,19.1,57.2,,08:00,1035.0
2022-01-21,Lunch,Salad,643.0,24.8,62.0,23.5,13:00,66.0
2022-01-21,Supper,Sprouts,517.0,,73.8,28.4,17:00,346.0
2022-01-21,Dinner,,,,,,,
2022-01-22,Breakfast,Smoothie,588.0,27.3,30.4,10.5,08:00,712.0
2022-01-22,Lunch,,,,,,,
2022-01-22,Supper,,,,,,,
2022-01-22,Dinner,Khichdi,430.0,27.3,28.7,22.8,20:30,428.0
2022-01-23,Breakfast,Toast,371.0,15.1,58.4,14.3,08:00,1684.0
2022-01-23,Lunch,,,,,,,
2022-01-23,Supper,Sprouts,381.0,22.3,71.0,21.0,17:00,233.0
2022-01-23,Dinner,Khichdi,390.0,24.2,62.1,28.0,20:30,467.0
2022-01-24,Breakfast,Pancakes,566.0,21.3,27.8,33.0,,835.0
2022-01-24,Lunch,,,,,,,
2022-01-24,Supper,,,,,,,
2022-01-24,Dinner,Roti,263.0,20.3,89.7,26.8,20:30,
2022-01-25,Breakfast,Pancakes,290.0,19.1,54.5,8.9,08:00,1068.0
2022-01-25,Lunch,Dal,502.0,42.9,,23.7,13:00,504.0
2022-01-25,Supper,Fruit,623.0,38.4,89.2,12.1,17:00,267.0
2022-01-25,Dinner,Fish,354.0,24.5,42.8,9.5,20:30,317.0
2022-01-26,Breakfast,Pancakes,454.0,,82.1,,08:00,1045.0
2022-01-26,Lunch,Dal,628.0,,78.1,34.1,13:00,608.0
2022-01-26,Supper,Sprouts,590.0,32.4,77.3,32.4,17:00,505.0
2022-01-26,Dinner,Vegetables,696.0,35.4,60.6,20.2,20:30,638.0
2022-01-27,Breakfast,Poha,484.0,30.3,47.2,22.5,08:00,88.0
2022-01-27,Lunch,Salad,433.0,24.4,81.8,21.9,13:00,60.0
2022-01-27,Supper,Yogurt,566.0,11.1,60.7,22.4,17:00,1242.0
2022-01-27,Dinner,Fish,498.0,26.8,69.7,,20:30,
2022-01-28,Breakfast,,,,,,,
2022-01-28,Lunch,,,,,,,
2022-01-28,Supper,Sprouts,403.0,11.3,41.4,27.3,17:00,523.0
2022-01-28,Dinner,Vegetables,620.0,,42.5,18.2,20:30,706.0
2022-01-29,Breakfast,Poha,283.0,29.5,63.1,23.2,08:00,283.0
2022-01-29,Lunch,Dal,614.0,21.6,85.7,8.2,13:00,
2022-01-29,Supper,Fruit,496.0,11.8,26.2,26.8,17:00,
2022-01-29,Dinner,Tofu,618.0,27.2,72.0,30.2,20:30,566.0
2022-01-30,Breakfast,,,,,,,
2022-01-30,Lunch,Curd,542.0,27.7,85.6,16.7,13:00,438.0
2022-01-30,Supper,Yogurt,262.0,,,11.7,17:00,192.0
2022-01-30,Dinner,Roti,318.0,39.1,87.7,11.4,,1487.0
2022-01-31,Breakfast,Toast,628.0,32.2,84.0,16.5,08:00,763.0
2022-01-31,Lunch,Paneer,671.0,28.9,53.5,23.6,,883.0
2022-01-31,Supper,Nuts,447.0,42.9,65.8,17.0,17:00,958.0
2022-01-31,Dinner,Soup,406.0,15.3,,14.7,20:30,113.0
2022-02-01,Breakfast,Pancakes,406.0,18.0,71.9,27.4,08:00,468.0
2022-02-01,Lunch,Dal,503.0,41.8,62.9,18.8,13:00,600.0
2022-02-01,Supper,Fruit,360.0,35.4,63.5,,17:00,910.0
2022-02-01,Dinner,,,,,,,
2022-02-02,Breakfast,Pancakes,654.0,15.8,37.1,30.6,08:00,78.0
2022-02-02,Lunch,Paneer,386.0,,76.2,24.3,13:00,1308.0
2022-02-02,Supper,Nuts,667.0,42.1,63.2,8.9,17:00,
2022-02-02,Dinner,Roti,426.0,37.3,43.0,13.9,20:30,93.0
2022-02-03,Breakfast,Toast,567.0,17.2,37.4,,08:00,746.0
2022-02-03,Lunch,,,,,,,
2022-02-03,Supper,,,,,,,
2022-02-03,Dinner,Fish,362.0,24.0,61.4,12.2,20:30,194.0
2022-02-04,Breakfast,Toast,692.0,27.7,63.7,17.2,08:00,694.0
2022-02-04,Lunch,Curd,537.0,39.9,79.0,18.7,13:00,
2022-02-04,Supper,Fruit,400.0,39.7,33.0,31.7,17:00,199.0
2022-02-04,Dinner,Fish,444.0,30.7,42.4,24.9,20:30,304.0
2022-02-05,Breakfast,Oats,263.0,36.0,70.4,18.9,08:00,1957.0
2022-02-05,Lunch,Chicken,464.0,33.9,78.5,,13:00,295.0
2022-02-05,Supper,Sandwich,336.0,13.7,34.1,15.1,17:00,93.0
2022-02-05,Dinner,Fish,422.0,39.3,51.3,28.8,20:30,
2022-02-06,Breakfast,Toast,559.0,26.7,68.1,,08:00,453.0
2022-02-06,Lunch,,,,,,,
2022-02-06,Supper,Nuts,586.0,27.4,,,17:00,1688.0
2022-02-06,Dinner,Vegetables,353.0,25.2,41.0,30.1,20:30,469.0
2022-02-07,Breakfast,Toast,513.0,32.4,74.3,27.6,08:00,1257.0
2022-02-07,Lunch,,,,,,,
2022-02-07,Supper,Fruit,614.0,33.4,27.9,23.9,17:00,593.0
2022-02-07,Dinner,,,,,,,
2022-02-08,Breakfast,Eggs,692.0,39.0,27.4,,08:00,1309.0
2022-02-08,Lunch,Salad,288.0,21.0,60.1,29.3,13:00,291.0
2022-02-08,Supper,Nuts,419.0,44.7,25.0,,,
2022-02-08,Dinner,Roti,567.0,26.8,65.8,31.6,20:30,844.0
2022-02-09,Breakfast,Poha,322.0,13.8,50.5,11.4,08:00,933.0
2022-02-09,Lunch,Curd,593.0,26.4,64.9,12.5,13:00,707.0
2022-02-09,Supper,Sprouts,615.0,18.1,36.5,14.0,,114.0
2022-02-09,Dinner,Roti,258.0,42.5,89.7,12.7,20:30,48.0
2022-02-10,Breakfast,Toast,278.0,41.1,87.1,31.3,08:00,1091.0
2022-02-10,Lunch,Curd,577.0,34.4,,22.4,13:00,
2022-02-10,Supper,Sprouts,473.0,28.1,83.9,23.4,17:00,296.0
2022-02-10,Dinner,Soup,602.0,15.5,35.4,,20:30,240.0
2022-02-11,Breakfast,Poha,288.0,15.6,,30.5,08:00,25.0
2022-02-11,Lunch,Rice,609.0,19.1,,22.6,13:00,1453.0
2022-02-11,Supper,,,,,,,
2022-02-11,Dinner,,,,,,,
2022-02-12,Breakfast,Oats,261.0,12.4,,17.3,08:00,816.0
2022-02-12,Lunch,Salad,500.0,,74.3,8.7,13:00,100.0
2022-02-12,Supper,,,,,,,
2022-02-12,Dinner,,,,,,,
2022-02-13,Breakfast,Pancakes,406.0,20.4,79.6,28.9,08:00,
2022-02-13,Lunch,Paneer,270.0,41.8,80.7,34.0,13:00,64.0
2022-02-13,Supper,,,,,,,
2022-02-13,Dinner,Fish,694.0,17.0,81.4,27.3,20:30,444.0
2022-02-14,Breakfast,Pancakes,273.0,42.2,,29.5,08:00,1445.0
2022-02-14,Lunch,Curd,681.0,27.2,29.2,23.7,13:00,
2022-02-14,Supper,Yogurt,569.0,23.8,88.4,27.5,17:00,763.0
2022-02-14,Dinner,Vegetables,337.0,,31.7,23.4,20:30,109.0
2022-02-15,Breakfast,Eggs,415.0,29.9,69.8,,08:00,991.0
2022-02-15,Lunch,Curd,258.0,42.8,28.4,22.6,13:00,40.0
2022-02-15,Supper,Nuts,632.0,12.8,83.2,22.8,17:00,805.0
2022-02-15,Dinner,Vegetables,261.0,18.6,35.4,31.5,20:30,205.0
2022-02-16,Breakfast,,,,,,,
2022-02-16,Lunch,Dal,661.0,,69.2,9.9,13:00,60.0
2022-02-16,Supper,,,,,,,
2022-02-16,Dinner,Khichdi,273.0,24.9,,18.0,20:30,848.0
2022-02-17,Breakfast,Poha,374.0,17.4,65.5,25.1,08:00,1665.0
2022-02-17,Lunch,Salad,263.0,44.0,36.8,31.1,13:00,395.0
2022-02-17,Supper,,,,,,,
2022-02-17,Dinner,Roti,333.0,30.8,35.6,18.6,20:30,647.0
2022-02-18,Breakfast,Eggs,581.0,39.0,53.0,14.7,08:00,
2022-02-18,Lunch,Paneer,424.0,33.2,55.9,30.8,13:00,211.0
2022-02-18,Supper,Yogurt,583.0,,59.5,33.3,17:00,515.0
2022-02-18,Dinner,Roti,428.0,11.5,,34.6,20:30,2029.0
2022-02-19,Breakfast,,,,,,,
2022-02-19,Lunch,Chicken,483.0,35.7,35.6,13.1,13:00,278.0
2022-02-19,Supper,Fruit,560.0,44.3,49.3,8.5,17:00,56.0
2022-02-19,Dinner,,,,,,,
2022-02-20,Breakfast,Eggs,695.0,33.0,90.0,9.3,08:00,181.0
2022-02-20,Lunch,,,,,,,
2022-02-20,Supper,Fruit,573.0,32.8,74.7,33.0,17:00,374.0
2022-02-20,Dinner,Roti,593.0,20.4,67.2,16.9,20:30,786.0
2022-02-21,Breakfast,Eggs,699.0,26.2,49.7,,08:00,354.0
2022-02-21,Lunch,Chicken,553.0,30.3,59.7,24.4,13:00,
2022-02-21,Supper,Nuts,585.0,32.7,,14.6,17:00,1269.0
2022-02-21,Dinner,Khichdi,622.0,20.0,45.0,29.7,20:30,1513.0
2022-02-22,Breakfast,Oats,675.0,,84.7,19.5,08:00,82.0
2022-02-22,Lunch,Paneer,624.0,32.3,58.5,24.0,13:00,1227.0
2022-02-22,Supper,,,,,,,
2022-02-22,Dinner,Roti,403.0,18.9,44.6,27.8,20:30,128.0
2022-02-23,Breakfast,Pancakes,392.0,18.1,38.4,,08:00,1188.0
2022-02-23,Lunch,,,,,,,
2022-02-23,Supper,Sprouts,395.0,24.2,52.8,27.4,17:00,217.0
2022-02-23,Dinner,Fish,537.0,19.6,30.2,10.3,20:30,90.0
2022-02-24,Breakfast,Eggs,316.0,28.7,46.1,17.0,08:00,846.0
2022-02-24,Lunch,Curd,365.0,12.1,61.5,33.9,13:00,
2022-02-24,Supper,Fruit,304.0,36.5,47.6,26.0,17:00,408.0
2022-02-24,Dinner,Khichdi,609.0,,40.8,26.1,20:30,1114.0
